airportname,latitude,longitude,count
Birsa Munda,23.31425,85.321675,6
Bisha,19.98435,42.620881,2
Bishop International,42.965424,-83.743629,6
Biskra,34.793289,5.738231,2
Bismarck Municipal Airport,46.775842,-100.757931,2
Blackpool,53.771667,-3.028611,6
Blagnac,43.629075,1.363819,47
Bloemfontein Intl,-29.092722,26.302444,2
Blue Grass,38.0365,-84.605889,12
Bob Baker Memorial Airport,66.975833,-160.436667,2
Bob Hope,34.200667,-118.358667,9
Bobo Dioulasso,11.160056,-4.330969,1
Bodo,67.269167,14.365278,15
Bodrum - Milas,37.249,27.667,21
Boeing Fld King Co Intl,47.53,-122.301947,1
Boise Air Terminal,43.564361,-116.222861,13
Bole Intl,8.977889,38.799319,81
Bologna,44.535444,11.288667,55
Bolshoye Savino,57.914517,56.021214,1
Bonaventure Airport,48.0711,-65.4603,2
Bonriki Intl,1.381636,173.14703600000001,1
Boone Co,36.261519,-93.154728,1
Bora Bora,-16.444378,-151.751286,6
Borg El Arab Intl,30.917669,29.696408,25
Borlange,60.422017,15.515211,1
Boryspil Intl,50.345,30.894722,69
Bosaso Airport,11.2753,49.1494,2
Boulia Airport,-22.9133,139.9,1
Bournemouth,50.78,-1.8425,16
Boutheon,45.540554,4.296389,1
Bradford Regional Airport,41.8031,-78.6401,1
Bradley Intl,41.938889,-72.683222,38
Brainerd Lakes Rgnl,46.398308,-94.138078,1
Branson LLC,36.531994,-93.200556,2
Bratsk,56.370556,101.698331,1
Brevig Mission Airport,65.331389,-166.465833,2
Brisbane Intl,-27.384167,153.1175,116
Bristol,51.382669,-2.719089,85
Broken Hill Airport,-32.0014,141.472,3
Bromma,59.354372,17.94165,22
Bronnoy,65.461111,12.2175,4
Broome,-17.8,122.2,9
Brunei Intl,4.9442,114.928353,15
Brussels Natl,50.901389,4.484444,253
Brussels South,50.459197,4.453817,81
Brusselton,-33.687222,115.400278,1
Bucholz Aaf,8.720122,167.731661,2
Buckland Airport,65.981667,-161.149167,2
Buffalo Niagara Intl,42.940525,-78.732167,26
Bugulma Airport,54.64,52.8017,2
Bujumbura Intl,-3.324019,29.318519,3
Buka Airport,-5.42232,154.673,2
Bukavu Kavumu,-2.308978,28.808803,1
Bukhara,39.775,64.483333,2
Bunia,1.565719,30.220833,2
