airportname,latitude,longitude,count
Chileka Intl,-15.679053,34.974014,1
Ching Chuang Kang,24.264668,120.62058,1
Chinggis Khaan Intl,47.843056,106.766639,1
Chios,38.343175,26.140572,1
Chisasibi Airport,53.8056,-78.9169,1
Chisinau Intl,46.927744,28.930978,1
Chitral Airport,35.886592,71.800578,1
Choibalsan Airport,48.1357,114.646,1
Christchurch Intl,-43.489358,172.532225,1
Christmas Island,-10.450556,105.690278,1
Chu Lai,15.405944,108.705889,1
Chubu Centrair Intl,34.858414,136.805408,1
Churchill,58.739167,-94.065,1
Churchill Falls Airport,53.5619,-64.1064,1
Chuuk Intl,7.461869,151.843006,1
Ciampino,41.799361,12.594936,1
Cibao Intl,19.406092,-70.604689,1
Cincinnati Muni Lunken Fld,39.103333,-84.418611,1
Cincinnati Northern Kentucky Intl,39.048836,-84.667822,1
City,51.505278,0.055278,1
City Centre,43.627499,-79.396167,1
City Of Colorado Springs Muni,38.805805,-104.700778,1
City of Derry,55.042778,-7.161111,1
Ciudad del Este,-25.4555,-54.843592,1
Ciudad Obregon Intl,27.392639,-109.833111,1
Cleveland Hopkins Intl,41.411689,-81.849794,1
Cloncurry Airport,-20.6686,140.504,1
Cluj Napoca,46.785167,23.686167,1
Clyde River,70.486111,-68.516667,1
Co Ong Airport,8.731831,106.632589,1
Cochin,10.155556,76.391389,1
Coffman Cove Seaplane Base,56.014722,-132.833889,1
Coffs Harbour,-30.320556,153.116389,1
Coimbatore,11.030031,77.043383,1
Cold Bay,55.206061,-162.725436,1
Colonel Hill Airport,22.745561,-74.182353,1
Columbia Metropolitan,33.938833,-81.119528,1
Columbia Rgnl,38.818094,-92.219631,1
Comandante Espora,-38.724967,-62.169317,1
Comiso,37.0,14.6144,1
Comodoro Rivadavia,-45.785347,-67.465508,1
Comox,49.710833,-124.886667,1
Conakry,9.576889,-13.611961,1
Congonhas,-23.626692,-46.655375,1
Copiapo,-27.0,-70.0,1
Cork,51.841269,-8.491111,1
Coronel Francisco Secada Vignetta Intl,-3.784739,-73.308806,1
Corvo Airport,39.6715,-31.1136,1
Cote D\\'Azur,43.658411,7.215872,1
Cotopaxi International Airport,-0.5425,-78.3657,1
Cozumel Intl,20.522403,-86.925644,1
Craig Cove Airport,-16.265,167.924,1
Craig Seaplane Base,55.478889,-133.147778,1
Craiova,44.318139,23.888611,1
Crooked Creek Airport,61.867778,-158.135,1
Crown Point,11.149658,-60.832194,1
Culiacan Intl,24.764547,-107.474717,1
Cunnamulla Airport,-28.03,145.622,1
Cyril E King,18.337306,-64.973361,1
Dachuan Airport,31.3,107.5,1
Daegu Ab,35.894108,128.658856,1
Dakhla Airport,23.7183,-15.932,1
Dalaman,36.713056,28.7925,1
Dalat,11.75,108.367,1
Dali,25.649444,100.319444,1
Dallas Fort Worth Intl,32.896828,-97.037997,1
Dallas Love Fld,32.847111,-96.851778,1
Danang Intl,16.043917,108.19937,1
Dane Co Rgnl Truax Fld,43.139858,-89.337514,1
Dangriga Airport,16.966667,-88.216667,1
Daniel Oduber Quiros Intl,10.593289,-85.544408,1
Daniel Z Romualdez,11.227628,125.027758,1
Daru Airport,-9.08676,143.208,1
Darwin Intl,-12.4083333,130.87266,1
Datong Airport,40.0603,113.482,1
Dawadmi Domestic Airport,24.5,44.4,1
Dawei Airport,14.103886,98.203636,1
Dawson Creek,55.742333,-120.183,1
Dayong Airport,29.1028,110.443,1
